title,genre,overview,content
Harold and Maude,"Comedy, Drama, Romance","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",comedy drama romance young rich and obsessed with death harold finds himself changed forever when he meets lively septuagenarian maude at a funeral
Patton,"Biography, Drama, War",The World War II phase of the career of controversial American general George S. Patton.,biography drama war the world war ii phase of the career of controversial american general george s patton
The Wild Bunch,"Action, Adventure, Western","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",action adventure western an aging group of outlaws look for one last big score as the traditional american west is disappearing around them
Night of the Living Dead,"Horror, Thriller",A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,horror thriller a ragtag group of pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesheating ghouls that are ravaging the east coast of the united states
The Lion in Winter,"Biography, Drama, History","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",biography drama history  ad king henry iis three sons all want to inherit the throne but he wont commit to a choice they and his wife variously plot to force him
In the Heat of the Night,"Crime, Drama, Mystery",A black police detective is asked to investigate a murder in a racially hostile southern town.,crime drama mystery a black police detective is asked to investigate a murder in a racially hostile southern town
Charade,"Comedy, Mystery, Romance",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,comedy mystery romance romance and suspense ensue in paris as a woman is pursued by several men who want a fortune her murdered husband had stolen whom can she trust
The Manchurian Candidate,"Drama, Thriller",A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,drama thriller a former prisoner of war is brainwashed as an unwitting assassin for an international communist conspiracy
Spartacus,"Adventure, Biography, Drama",The slave Spartacus leads a violent revolt against the decadent Roman Republic.,adventure biography drama the slave spartacus leads a violent revolt against the decadent roman republic
L'avventura,"Drama, Mystery","A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",drama mystery a woman disappears during a mediterranean boating trip during the search her lover and her best friend become attracted to each other
Hiroshima mon amour,"Drama, Romance",A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,drama romance a french actress filming an antiwar film in hiroshima has an affair with a married japanese architect as they share their differing perspectives on war
The Ten Commandments,"Adventure, Drama","Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",adventure drama moses an egyptian prince learns of his true heritage as a hebrew and his divine mission as the deliverer of his people
The Searchers,"Adventure, Drama, Western",An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,adventure drama western an american civil war veteran embarks on a journey to rescue his niece from the comanches
East of Eden,Drama,"Two brothers struggle to maintain their strict, Bible-toting father's favor.",drama two brothers struggle to maintain their strict bibletoting fathers favor
High Noon,"Drama, Thriller, Western","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",drama thriller western a town marshal despite the disagreements of his newlywed bride and the townspeople around him must face a gang of deadly killers alone at high noon when the gang leader an outlaw he sent up years ago arrives on the noon train
Strangers on a Train,"Crime, Film-Noir, Thriller",A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,crime filmnoir thriller a psychopath forces a tennis star to comply with his theory that two strangers can get away with murder
Harvey,"Comedy, Drama, Fantasy","Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",comedy drama fantasy due to his insistence that he has an invisible six foottall rabbit for a best friend a whimsical middleaged man is thought by his family to be insane  but he may be wiser than anyone knows
Miracle on 34th Street,"Comedy, Drama, Family","When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",comedy drama family when a nice old man who claims to be santa claus is institutionalized as insane a young lawyer decides to defend him by arguing in court that he is the real thing
Notorious,"Drama, Film-Noir, Romance",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,drama filmnoir romance a woman is asked to spy on a group of nazi friends in south america how far will she have to go to ingratiate herself with them
The Big Sleep,"Crime, Film-Noir, Mystery","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",crime filmnoir mystery private detective philip marlowe is hired by a wealthy family before the complex case is over hes seen murder blackmail and what might be love
The Lost Weekend,"Drama, Film-Noir",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,drama filmnoir the desperate life of a chronic alcoholic is followed through a fourday drinking bout
The Philadelphia Story,"Comedy, Romance","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",comedy romance when a rich womans exhusband and a tabloidtype reporter turn up just before her planned remarriage she begins to learn the truth about herself
His Girl Friday,"Comedy, Drama, Romance",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,comedy drama romance a newspaper editor uses every trick in the book to keep his ace reporter exwife from remarrying
The Adventures of Robin Hood,"Action, Adventure, Romance","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",action adventure romance when prince john and the norman lords begin oppressing the saxon masses in king richards absence a saxon lord fights back as the outlaw leader of a rebel guerrilla army
A Night at the Opera,"Comedy, Music, Musical",A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,comedy music musical a sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies
King Kong,"Adventure, Horror, Sci-Fi",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,adventure horror scifi a film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star he is then captured and brought back to new york city for public exhibition
Freaks,"Drama, Horror","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",drama horror a circus beautiful trapeze artist agrees to marry the leader of sideshow performers but his deformed friends discover she is only marrying him for his inheritance
Nosferatu,"Fantasy, Horror",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,fantasy horror vampire count orlok expresses interest in a new residence and real estate agent hutters wife
The Gentlemen,"Action, Comedy, Crime","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",action comedy crime an american expat tries to sell off his highly profitable marijuana empire in london triggering plots schemes bribery and blackmail in an attempt to steal his domain out from under him
Raazi,"Action, Drama, Thriller",A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,action drama thriller a kashmiri woman agrees to marry a pakistani army officer in order to spy on pakistan during the indopakistan war of 
Sound of Metal,"Drama, Music",A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,drama music a heavymetal drummers life is thrown into freefall when he begins to lose his hearing
Forushande,Drama,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",drama while both participating in a production of death of a salesman a teachers wife is assaulted in her new home which leaves him determined to find the perpetrator over his wifes traumatized objections
Dunkirk,"Action, Drama, History","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",action drama history allied soldiers from belgium the british empire and france are surrounded by the german army and evacuated during a fierce battle in world war ii
Perfetti sconosciuti,"Comedy, Drama","Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",comedy drama seven longtime friends get together for a dinner when they decide to share with each other the content of every text message email and phone call they receive many secrets start to unveil and the equilibrium trembles
Hidden Figures,"Biography, Drama, History",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,biography drama history the story of a team of female africanamerican mathematicians who served a vital role in nasa during the early years of the us space program
Paddington 2,"Adventure, Comedy, Family","Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",adventure comedy family paddington ben whishaw now happily settled with the brown family and a popular member of the local community picks up a series of odd jobs to buy the perfect present for his aunt lucys imelda stauntons th birthday only for the gift to be stolen
Udta Punjab,"Action, Crime, Drama",A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,action crime drama a story that revolves around drug abuse in the affluent north indian state of punjab and how the youth there have succumbed to it enmasse resulting in a socioeconomic decline
Kubo and the Two Strings,"Animation, Action, Adventure",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,animation action adventure a young boy named kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past
M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,biography drama sport the untold story of mahendra singh dhonis journey from ticket collector to trophy collector  the worldcupwinning captain of the indian cricket team
Manchester by the Sea,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,drama a depressed uncle is asked to take care of his teenage nephew after the boys father dies
Under sandet,"Drama, History, War","In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",drama history war in postworld war ii denmark a group of young german pows are forced to clear a beach of thousands of land mines under the watch of a danish sergeant who slowly learns to appreciate their plight
Rogue One,"Action, Adventure, Sci-Fi",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,action adventure scifi the daughter of an imperial scientist joins the rebel alliance in a risky move to steal the plans for the death star
Captain America: Civil War,"Action, Adventure, Sci-Fi",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,action adventure scifi political involvement in the avengers affairs causes a rift between captain america and iron man
The Hateful Eight,"Crime, Drama, Mystery","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",crime drama mystery in the dead of a wyoming winter a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters
Little Women,"Drama, Romance","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",drama romance jo march reflects back and forth on her life telling the beloved story of the march sisters  four young women each determined to live life on her own terms
Loving Vincent,"Animation, Biography, Crime","In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",animation biography crime in a story depicted in oil painted animation a young man comes to the last hometown of painter vincent van gogh robert gulaczyk to deliver the troubled artists final letter and ends up investigating his final days there
Pride,"Biography, Comedy, Drama",U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,biography comedy drama uk gay activists work to help miners during their lengthy strike of the national union of mineworkers in the summer of 
Le passé,"Drama, Mystery","An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",drama mystery an iranian man deserts his french wife and her two children to return to his homeland meanwhile his wife starts up a new relationship a reality her husband confronts upon his wifes request for a divorce
La grande bellezza,Drama,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",drama jep gambardella has seduced his way through the lavish nightlife of rome for decades but after his th birthday and a shock from the past jep looks past the nightclubs and parties to find a timeless landscape of absurd exquisite beauty
The Lunchbox,"Drama, Romance",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,drama romance a mistaken delivery in mumbais famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox
Vicky Donor,"Comedy, Romance","A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",comedy romance a man is brought in by an infertility doctor to supply him with his sperm where he becomes the biggest sperm donor for his clinic
Big Hero 6,"Animation, Action, Adventure","A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",animation action adventure a special bond develops between plussized inflatable robot baymax and prodigy hiro hamada who together team up with a group of friends to form a band of hightech heroes
About Time,"Comedy, Drama, Fantasy","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",comedy drama fantasy at the age of  tim discovers he can travel in time and change what happens and has happened in his own life his decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think
English Vinglish,"Comedy, Drama, Family","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",comedy drama family a quiet sweet tempered housewife endures small slights from her welleducated husband and daughter every day because of her inability to speak and understand english
Kaze tachinu,"Animation, Biography, Drama","A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",animation biography drama a look at the life of jiro horikoshi the man who designed japanese fighter planes during world war ii
Toy Story 4,"Animation, Adventure, Comedy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",animation adventure comedy when a new toy called forky joins woody and the gang a road trip alongside old and new friends reveals how big the world can be for a toy
La migliore offerta,"Crime, Drama, Mystery",A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,crime drama mystery a lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining
Moonrise Kingdom,"Comedy, Drama, Romance","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",comedy drama romance a pair of young lovers flee their new england town which causes a local search party to fan out to find them
How to Train Your Dragon 2,"Animation, Action, Adventure","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",animation action adventure when hiccup and toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious dragon rider the two friends find themselves at the center of a battle to protect the peace
The Big Short,"Biography, Comedy, Drama",In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,biography comedy drama in  a group of investors bet against the us mortgage market in their research they discover how flawed and corrupt the market is
Kokuhaku,"Drama, Thriller",A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,drama thriller a psychological thriller of a grieving mother turned coldblooded avenger with a twisty master plan to pay back those who were responsible for her daughters death
Ang-ma-reul bo-at-da,"Action, Crime, Drama",A secret agent exacts revenge on a serial killer through a series of captures and releases.,action crime drama a secret agent exacts revenge on a serial killer through a series of captures and releases
The Girl with the Dragon Tattoo,"Crime, Drama, Mystery","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",crime drama mystery journalist mikael blomkvist is aided in his search for a woman who has been missing for forty years by lisbeth salander a young computer hacker
Captain Phillips,"Adventure, Biography, Crime","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",adventure biography crime the true story of captain richard phillips and the  hijacking by somali pirates of the usflagged mv maersk alabama the first american cargo ship to be hijacked in two hundred years
Ajeossi,"Action, Crime, Drama",A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,action crime drama a quiet pawnshop keeper with a violent past takes on a drugandorgan trafficking ring in hope of saving the child who is his only friend
Straight Outta Compton,"Biography, Drama, History","The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",biography drama history the rap group nwa emerges from the mean streets of compton in los angeles california in the mids and revolutionizes hip hop culture with their music and tales about life in the hood
Madeo,"Crime, Drama, Mystery",A mother desperately searches for the killer who framed her son for a girl's horrific murder.,crime drama mystery a mother desperately searches for the killer who framed her son for a girls horrific murder
Chugyeokja,"Action, Crime, Thriller",A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,action crime thriller a disgraced expoliceman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",adventure fantasy the dwarves along with bilbo baggins and gandalf the grey continue their quest to reclaim erebor their homeland from smaug bilbo baggins is in possession of a mysterious and magical ring
Das weiße Band - Eine deutsche Kindergeschichte,"Drama, History, Mystery","Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",drama history mystery strange events happen in a small village in the north of germany during the years before world war i which seem to be ritual punishment who is responsible
Män som hatar kvinnor,"Crime, Drama, Mystery",A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,crime drama mystery a journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years
The Trial of the Chicago 7,"Drama, History, Thriller","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",drama history thriller the story of  people on trial stemming from various charges surrounding the uprising at the  democratic national convention in chicago illinois
Druk,"Comedy, Drama","Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood.",comedy drama four friends all high school teachers test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood
The Fighter,"Biography, Drama, Sport","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",biography drama sport based on the story of micky ward a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness
Taken,"Action, Thriller","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",action thriller a retired cia agent travels across europe and relies on his old skills to save his estranged daughter who has been kidnapped while on a trip to paris
The Boy in the Striped Pyjamas,"Drama, History, War","Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",drama history war through the innocent eyes of bruno the eightyearold son of the commandant at a german concentration camp a forbidden friendship with a jewish boy on the other side of the camp fence has startling and unexpected consequences
Once,"Drama, Music, Romance","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",drama music romance a modernday musical about a busker and an immigrant and their eventful week in dublin as they write rehearse and record songs that tell their love story
The Hobbit: An Unexpected Journey,"Adventure, Fantasy","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",adventure fantasy a reluctant hobbit bilbo baggins sets out to the lonely mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon smaug
Auf der anderen Seite,Drama,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,drama a turkish man travels to istanbul to find the daughter of his fathers former girlfriend
Atonement,"Drama, Mystery, Romance",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,drama mystery romance thirteenyearold fledgling writer briony tallis irrevocably changes the course of several lives when she accuses her older sisters lover of a crime he did not commit
Drive,"Crime, Drama",A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,crime drama a mysterious hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor
American Gangster,"Biography, Crime, Drama","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",biography crime drama an outcast new york city cop is charged with bringing down harlem drug lord frank lucas whose real life inspired this partly biographical film
Avatar,"Action, Adventure, Fantasy",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,action adventure fantasy a paraplegic marine dispatched to the moon pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home
Mr. Nobody,"Drama, Fantasy, Romance","A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",drama fantasy romance a boy stands on a station platform as a train is about to leave should he go with his mother or stay with his father infinite possibilities arise from this decision as long as he doesnt choose anything is possible
Apocalypto,"Action, Adventure, Drama","As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",action adventure drama as the mayan kingdom faces its decline a young man is taken on a perilous journey to a world ruled by fear and oppression
Little Miss Sunshine,"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,comedy drama a family determined to get their young daughter into the finals of a beauty pageant take a crosscountry trip in their vw bus
Hot Fuzz,"Action, Comedy, Mystery",A skilled London police officer is transferred to a small town with a dark secret.,action comedy mystery a skilled london police officer is transferred to a small town with a dark secret
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",drama fantasy romance tells the story of benjamin button a man who starts aging backwards with consequences
Veer-Zaara,"Drama, Family, Musical","Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",drama family musical veerzaara is a saga of love separation courage and sacrifice a love story that is an inspiration and will remain a legend forever
Adams æbler,"Comedy, Crime, Drama",A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,comedy crime drama a neonazi sentenced to community service at a church clashes with the blindly devotional priest
Pride & Prejudice,"Drama, Romance","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",drama romance sparks fly when spirited elizabeth bennet meets single rich and proud mr darcy but mr darcy reluctantly finds himself falling in love with a woman beneath his class can each overcome their own pride and prejudice
The World's Fastest Indian,"Biography, Drama, Sport","The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",biography drama sport the story of new zealander burt munro who spent years rebuilding a  indian motorcycle which helped him set the land speed world record at utahs bonneville salt flats in 
Tôkyô goddofâzâzu,"Animation, Adventure, Comedy","On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",animation adventure comedy on christmas eve three homeless people living on the streets of tokyo discover a newborn baby among the trash and set out to find its parents
Serenity,"Action, Adventure, Sci-Fi",The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,action adventure scifi the crew of the ship serenity try to evade an assassin sent to recapture one of their members who is telepathic
Walk the Line,"Biography, Drama, Music","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",biography drama music a chronicle of country music legend johnny cashs life from his early days on an arkansas cotton farm to his rise to fame with sun records in memphis where he recorded alongside elvis presley jerry lee lewis and carl perkins
Ondskan,Drama,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",drama a teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline and decides to fight back
The Notebook,"Drama, Romance","A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",drama romance a poor yet passionate young man falls in love with a rich young woman giving her a sense of freedom but they are soon separated because of their social differences
Diarios de motocicleta,"Adventure, Biography, Drama",The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,adventure biography drama the dramatization of a motorcycle road trip che guevara went on in his youth that showed him his lifes calling
Lilja 4-ever,"Crime, Drama","Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",crime drama sixteenyearold lilja and her only friend the young boy volodja live in russia fantasizing about a better life one day lilja falls in love with andrej who is going to sweden and invites lilja to come along and start a new life
Les triplettes de Belleville,"Animation, Comedy, Drama","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",animation comedy drama when her grandson is kidnapped during the tour de france madame souza and her beloved pooch bruno team up with the belleville sistersan aged songanddance team from the days of fred astaireto rescue him
Gongdong gyeongbi guyeok JSA,"Action, Drama, Thriller","After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",action drama thriller after a shooting incident at the northsouth korean borderdmz leaves  north korean soldiers dead a neutral swissswedish team investigates what actually happened
The Count of Monte Cristo,"Action, Adventure, Drama","A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",action adventure drama a young man falsely imprisoned by his jealous friend escapes and uses a hidden treasure to exact his revenge
Waking Life,"Animation, Drama, Fantasy",A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,animation drama fantasy a man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe
Remember the Titans,"Biography, Drama, Sport",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,biography drama sport the true story of a newly appointed africanamerican coach and his high school team on their first season as a racially integrated unit
Wo hu cang long,"Action, Adventure, Fantasy",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,action adventure fantasy a young chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation
Todo sobre mi madre,Drama,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",drama young esteban wants to become a writer and also to discover the identity of his second mother a trans woman carefully concealed by his mother manuela
Cast Away,"Adventure, Drama, Romance",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,adventure drama romance a fedex executive undergoes a physical and emotional transformation after crash landing on a deserted island
The Boondock Saints,"Action, Crime, Thriller",Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,action crime thriller two irish catholic brothers become vigilantes and wipe out bostons criminal underworld in the name of god
The Insider,"Biography, Drama, Thriller",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,biography drama thriller a research chemist comes under personal and professional attack when he decides to appear in a  minutes expos on big tobacco
October Sky,"Biography, Drama, Family","The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",biography drama family the true story of homer hickam a coal miners son who was inspired by the first sputnik launch to take up rocketry against his fathers wishes
Shrek,"Animation, Adventure, Comedy","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",animation adventure comedy a mean lord exiles fairytale creatures to the swamp of a grumpy ogre who must go on a quest and rescue a princess for the lord in order to get his land back
Titanic,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",drama romance a seventeenyearold aristocrat falls in love with a kind but poor artist aboard the luxurious illfated rms titanic
Hana-bi,"Crime, Drama, Romance","Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",crime drama romance nishi leaves the police in the face of harrowing personal and professional difficulties spiraling into depression he makes questionable decisions
Gattaca,"Drama, Sci-Fi, Thriller",A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,drama scifi thriller a genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel
